<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,109840,109870,109840,109870
18/09/18,109870,109890,109870,109870
18/09/18,109890,109900,109870,109870
18/09/18,109870,109950,109870,109940
18/09/18,109950,109950,109880,109880
18/09/18,109880,109910,109850,109860
18/09/18,109850,109870,109770,109800
18/09/18,109800,109880,109770,109830
18/09/18,109830,109860,109830,109850
18/09/18,109850,109890,109780,109810
18/09/18,109810,109810,109790,109790
18/09/18,109800,109820,109790,109800
18/09/18,109810,109820,109800,109800
18/09/18,109800,109820,109770,109810
18/09/18,109800,109820,109800,109810
18/09/18,109810,109840,109810,109820
18/09/18,109820,109840,109810,109810
18/09/18,109820,109820,109810,109810
18/09/18,109810,109810,109800,109810
18/09/18,109820,109820,109810,109810
18/09/18,109820,109820,109740,109750
18/09/18,109760,109800,109750,109800
18/09/18,109820,109820,109780,109790
18/09/18,109790,109810,109780,109790
18/09/18,109780,109790,109780,109790
18/09/18,109790,109790,109770,109790
18/09/18,109790,109790,109770,109780
18/09/18,109780,109780,109670,109710
18/09/18,109710,109740,109700,109740
18/09/18,109740,109750,109730,109740
18/09/18,109740,109750,109730,109750
18/09/18,109760,109760,109730,109750
18/09/18,109740,109740,109730,109730
18/09/18,109730,109740,109720,109730
18/09/18,109740,109760,109740,109740
18/09/18,109740,109770,109730,109770
18/09/18,109770,109830,109770,109820
18/09/18,109830,109840,109810,109810
18/09/18,109820,109820,109800,109800
18/09/18,109840,109840,109810,109820
18/09/18,109830,109870,109820,109870
18/09/18,109870,109900,109870,109870
18/09/18,109880,109880,109860,109860
18/09/18,109870,109870,109840,109840
18/09/18,109850,109850,109810,109810
18/09/18,109810,109820,109800,109810
18/09/18,109820,109850,109820,109840
18/09/18,109850,109880,109850,109850
18/09/18,109860,109870,109810,109810
18/09/18,109830,109860,109830,109840
18/09/18,109850,109850,109810,109810
18/09/18,109810,109810,109760,109760
18/09/18,109790,109800,109760,109780
18/09/18,109780,109810,109770,109810
18/09/18,109810,109810,109800,109800
18/09/18,109810,109850,109810,109850
18/09/18,109860,109880,109830,109830
18/09/18,109840,109850,109810,109810
18/09/18,109830,109860,109820,109860
18/09/18,109870,109870,109830,109830
18/09/18,109820,109890,109820,109870
18/09/18,109870,109880,109850,109860
18/09/18,109860,109880,109850,109850
18/09/18,109850,109860,109850,109860
18/09/18,109860,109880,109850,109860
18/09/18,109860,109860,109830,109840
18/09/18,109850,109860,109840,109850
18/09/18,109860,109870,109860,109870
18/09/18,109880,109880,109840,109850
18/09/18,109830,109870,109830,109860
18/09/18,109870,109890,109850,109880
18/09/18,109870,109960,109870,109930
18/09/18,109930,109960,109900,109920
18/09/18,109920,109940,109900,109900
18/09/18,109900,109940,109900,109920
18/09/18,109930,109940,109900,109900
18/09/18,109910,109980,109910,109940
18/09/18,109940,109950,109930,109950
18/09/18,109970,109990,109960,109970
18/09/18,109970,109980,109970,109980
18/09/18,109990,110000,109980,110000
18/09/18,110000,110000,109980,109990
18/09/18,109990,110060,109990,110060
18/09/18,110040,110070,110020,110060
18/09/18,110060,110100,110030,110070
18/09/18,110070,110100,110060,110100
18/09/18,110100,110190,110080,110160
18/09/18,110160,110200,110150,110160
18/09/18,110170,110180,110160,110160
18/09/18,110160,110300,110150,110230
18/09/18,110220,110230,110160,110160
18/09/18,110180,110320,110170,110280
18/09/18,110280,110300,110200,110220
18/09/18,110220,110240,110200,110200
18/09/18,110220,110240,110200,110210
18/09/18,110210,110230,110200,110200
18/09/18,110200,110200,110170,110190
18/09/18,110190,110240,110190,110200
18/09/18,110200,110240,110200,110220
18/09/18,110220,110260,110200,110220
18/09/18,110220,110240,110180,110230
18/09/18,110240,110250,110160,110250
18/09/18,110230,110230,110140,110160
18/09/18,110180,110210,110140,110150
18/09/18,110130,110140,110110,110130
18/09/18,110140,110160,110110,110120
18/09/18,110110,110120,110020,110030
18/09/18,110040,110080,110020,110050
18/09/18,110040,110060,110020,110050
18/09/18,110040,110050,110040,110050
18/09/18,110050,110050,109980,109980
18/09/18,109980,110030,109960,110010
18/09/18,110010,110020,109950,109960
18/09/18,109970,110030,109970,110030
18/09/18,110030,110070,110010,110070
18/09/18,110070,110090,110050,110050
18/09/18,110030,110030,109970,109980
18/09/18,109980,110010,109980,109990
18/09/18,109990,110030,109990,110020
18/09/18,110010,110010,109970,109970
18/09/18,109970,109990,109970,109990
18/09/18,110000,110020,109990,110020
18/09/18,110030,110060,110020,110060
18/09/18,110060,110100,110060,110090
18/09/18,110080,110090,110010,110010
18/09/18,109990,110000,109900,109910
18/09/18,109940,109960,109930,109960
18/09/18,109970,109980,109960,109970
18/09/18,109980,110040,109940,110040
18/09/18,110030,110070,109980,110000
18/09/18,110000,110020,109970,110020
18/09/18,110010,110050,110010,110050
18/09/18,110060,110100,110040,110070
18/09/18,110070,110110,110060,110080
18/09/18,110070,110130,110060,110060
18/09/18,110100,110110,110070,110090
18/09/18,110090,110120,110060,110060
18/09/18,110070,110070,109980,110010
18/09/18,110020,110160,110020,110120
18/09/18,110150,110180,110110,110150
18/09/18,110150,110190,110150,110180
18/09/18,110200,110240,110120,110140
18/09/18,110160,110210,110150,110200
18/09/18,110200,110280,110200,110200
18/09/18,110200,110250,110180,110220
18/09/18,110210,110220,110190,110190
18/09/18,110190,110230,110190,110190
18/09/18,110190,110270,110190,110240
18/09/18,110260,110270,110230,110260
18/09/18,110260,110280,110210,110210
18/09/18,110220,110300,110220,110220
18/09/18,110230,110270,110210,110270
18/09/18,110280,110280,110260,110260
18/09/18,110260,110270,110240,110250
18/09/18,110250,110320,110240,110300
18/09/18,110300,110320,110250,110310
18/09/18,110320,110350,110320,110330
18/09/18,110320,110320,110280,110290
18/09/18,110290,110300,110250,110280
18/09/18,110290,110290,110220,110240
18/09/18,110240,110240,110190,110190
18/09/18,110190,110230,110140,110200
18/09/18,110200,110220,110150,110170
18/09/18,110170,110170,110150,110170
18/09/18,110180,110200,110160,110200
18/09/18,110180,110200,110160,110190
18/09/18,110180,110180,110140,110150
18/09/18,110150,110150,110100,110110
18/09/18,110100,110120,110090,110100
18/09/18,110100,110100,110050,110070
18/09/18,110070,110080,110060,110080
18/09/18,110080,110110,110080,110110
18/09/18,110160,110190,110150,110180
18/09/18,110190,110200,110160,110180
18/09/18,110200,110270,110200,110230
18/09/18,110270,110280,110240,110260
18/09/18,110260,110270,110220,110230
18/09/18,110230,110240,110230,110240
18/09/18,110250,110300,110240,110280
18/09/18,110290,110300,110280,110300
18/09/18,110310,110360,110310,110340
18/09/18,110360,110370,110310,110330
18/09/18,110320,110350,110310,110310
18/09/18,110320,110330,110300,110310
18/09/18,110320,110340,110300,110340
18/09/18,110340,110350,110320,110330
18/09/18,110320,110320,110290,110290
18/09/18,110290,110310,110290,110290
18/09/18,110300,110360,110290,110330
18/09/18,110350,110360,110350,110350
18/09/18,110350,110370,110310,110320
18/09/18,110330,110330,110310,110330
18/09/18,110330,110330,110250,110290
18/09/18,110300,110300,110260,110290
18/09/18,110300,110310,110300,110300
18/09/18,110310,110320,110300,110310
18/09/18,110300,110300,110270,110280
18/09/18,110280,110290,110260,110260
18/09/18,110270,110310,110260,110300
